Query Recipe,Query Ingredients,Model,Rank,Recommended Recipe,Recommended Ingredients,predicted_relevance_tfidf,relevance_tfidf,Recommended Recipe W2V,Recommended Ingredients W2V,predicted_relevance_word2vec,relevance_word2vec
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,1,Варенье из одуванчиков и лимона,Цветы одуванчика 100 г Лимон по вкусу Сахар 6 столовых ложек Свежая мята по вкусу,0.5818402905741977,"1,00",Курица отварная с кизиловой подливкой,Курица Кизил Сахар Изюм,0.34992268681526184,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,2,Напиток из одуванчиков,Листья одуванчика 20 штук Яблоко 2 штуки Стебель сельдерея 5 штук,0.5488925018884994,"1,00","Каша гурьевская, запеченная в тыкве",Тыква Рис Сметана Сахар Изюм Корица Курага,0.32745644450187683,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,3,Домашний лимонад из лимона,Лимон 1 штука Вода 2 л Сахар 200 г,0.4472679781376203,"1,00",Каша рисовая с яблоками,Рис Яблоко Вода Сахар Ваниль Сливочное масло,0.29177576303482056,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,4,Салат из одуванчиков,Листья одуванчика 700 г Кедровые орехи 3 столовые ложки Оливковое масло 50 мл Чеснок 2 зубчика Соль по вкусу Бальзамический уксус 2 столовые ложки Молотый белый перец по вкусу,0.43593401470745935,"1,00",Кием морковный,Сахар Морковь Вода Ванилин,0.27121269702911377,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,5,Песто из одуванчиков,"Листья одуванчика 350 г Оливковое масло extra virgin 250 мл Чеснок 4 зубчика Кедровые орехи 40 г Морская соль 1,5 чайные ложки Тертый сыр пармезан 70 г ",0.42788954867303847,"1,00",Клубника Конде,Рис Молоко Яичный желток Клубника Бренди Ванильный стручок Лимонный сок Сахар Сахарная пудра,0.2691754102706909,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,6,Гарнир из одуванчиков с чесноком и острым перцем,Листья одуванчика 500 г Лук репчатый 120 г Чеснок 1 зубчик Сушеный перец чили 1 штука Соль по вкусу Растительное масло ¼ стакана Свежемолотый черный перец по вкусу Тертый сыр пармезан по вкусу,0.41547450009667175,"1,00",Холодное варенье из черной смородины,Черная смородина Сахар,0.26477426290512085,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,7,Лимонные дольки,Вода 150 мл Сахар 250 г Лимон по вкусу,0.40529764241037447,"1,00",Жареная свекла с яблоками,Свекла Шпик Яблоко Соль Фруктовый сок Сахар Лимонный сок Корица Гвоздика,0.2619037628173828,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,8,Салат из свеклы и листьев одуванчика,Свекла 1 штука Листья одуванчика 150 г Козий сыр 50 г Оливковое масло 20 мл Белые кунжутные семечки 10 г Бальзамический уксус 10 мл,0.3980823236613497,"1,00",Ванильная овсяная каша со свежей голубикой,Молоко Ванильный сахар Овсяные хлопья Голубика,0.2605712115764618,"0,00"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,9,Напиток яблочный с лимоном,Зеленые яблоки 2 штуки Лимон 1 штука Сахар 2 столовые ложки Вода 5 стаканов Мед по вкусу Изюм по вкусу,0.39325656053003627,"1,00",Домашний лимонад с черникой,Сахар 2 стакана Лимонный сок 3 стакана Черника по вкусу,0.2604295611381531,"0,50"
Вино из одуванчиков,"лимон, сахар, изюм, вода, мята, одуванчик",TF-IDF,10,Салат из одуванчиков с цикорием и беконом,Листья одуванчика 250 г Цикорий 1 штука Бекон 200 г Картофель 2 штуки Лук-шалот 100 г Белое сухое вино 100 мл Оливковое масло 50 мл Соль по вкусу Перец черный молотый по вкусу,0.3927083558826353,"1,00",Хапала,Тыква Рис Сливочное масло Сахар Алыча Изюм Соль Яблоко Корица,0.2537291347980499,"0,00"
